Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
134000,-0.09763206,0.01956758,1.408025,599.0,-1.0000000894069672,-1.0000000894069672,0.05718689567099015,1.0
135000,-0.11087753,0.009342041,1.4086585,None,-1.0000000894069672,-1.0000000894069672,0.07070830628371742,1.0
136000,-0.13039662,-0.009998401,1.4086581,None,None,None,None,1.0
137000,-0.12971145,-0.010833482,1.4086584,None,None,None,None,1.0
138000,-0.1274153,-0.0108938925,1.4086581,None,None,None,None,1.0
139000,-0.12225168,-0.0071864114,1.4086584,None,None,None,None,1.0
140000,-0.11584455,-0.0003537006,1.4086581,None,None,None,None,1.0
141000,-0.11351268,0.0048188046,1.4086584,None,None,None,None,1.0
142000,-0.11274901,0.013411165,1.4086581,None,None,None,None,1.0
143000,-0.11127518,0.013745216,1.4086584,None,None,None,None,1.0
144000,-0.11218452,0.021447808,1.4086581,None,None,None,None,1.0
145000,-0.11240806,0.019793106,1.408834,None,None,None,None,1.0
146000,-0.11720863,0.028976176,1.4088241,None,None,None,None,1.0
147000,-0.1144898,0.026625007,1.4088243,None,None,None,None,1.0
148000,-0.11446407,0.027778674,1.4088241,None,None,None,None,1.0
149000,-0.112823226,0.02750441,1.4088242,None,None,None,None,1.0
150000,-0.10848119,0.019356431,1.4088241,None,None,None,None,1.0
151000,-0.10983404,0.021561947,1.4088242,None,None,None,None,1.0
152000,-0.1043811,0.015314255,1.4088241,None,None,None,None,1.0
153000,-0.1024216,0.016519463,1.4088241,599.0,-1.0000000894069672,-1.0000000894069672,0.06545686424942687,1.0
154000,-0.107443705,0.01126166,1.4088243,599.0,-1.0000000894069672,-1.0000000894069672,0.10207039893318254,1.0
155000,-0.13445956,-0.007462491,None,None,None,None,None,1.0
156000,-0.13379073,-0.004431438,1.4095135,None,None,None,None,1.0
157000,-0.12936787,-0.004879852,1.4101479,None,None,None,None,1.0
158000,-0.13040833,0.0015536087,1.410148,None,None,None,None,1.0
159000,-0.12396735,0.010814498,1.4101479,None,None,None,None,1.0
160000,-0.12530763,0.014460473,1.410148,None,None,None,None,1.0
161000,-0.12578776,0.019855574,1.4101479,None,None,None,None,1.0
162000,-0.12476158,0.01951112,1.410148,None,None,None,None,1.0
163000,-0.12466801,0.028620662,1.410148,None,None,None,None,1.0
164000,-0.12445574,0.023644535,1.410148,None,None,None,None,1.0
165000,-0.12322794,0.031235188,1.410148,None,None,None,None,1.0
166000,-0.12239175,0.029214282,1.410148,None,None,None,None,1.0
167000,-0.11299906,0.021565154,None,None,None,None,None,1.0
168000,-0.12070808,0.023674948,1.4107226,None,None,None,None,1.0
169000,-0.1122111,0.022833407,1.4108051,None,None,None,None,1.0
170000,-0.115297034,0.014709888,1.4108049,None,None,None,None,1.0
171000,-0.10491606,0.027012825,1.4108051,None,None,None,None,1.0
172000,-0.11338189,0.015943993,1.410805,None,None,None,None,1.0
173000,-0.107535675,0.02329828,1.410805,599.0,-1.0000000894069672,-1.0000000894069672,0.06892419763607904,1.0
174000,-0.1403183,-0.0022311239,1.4108051,None,None,None,None,1.0
175000,-0.13949147,-0.0006596978,1.4108049,None,None,None,None,1.0
176000,-0.13150243,0.0042570545,1.4108051,None,None,None,None,1.0
177000,-0.13524379,0.008286625,1.4108049,None,None,None,None,1.0
178000,-0.132507,0.019030213,1.410805,None,None,None,None,1.0
179000,-0.13737866,0.02340873,1.41107,None,None,None,None,1.0
180000,-0.13437867,0.028565476,1.4111696,None,None,None,None,1.0
181000,-0.13774168,0.03619301,1.4111698,None,None,None,None,1.0
182000,-0.13198994,0.026967915,None,None,None,None,None,1.0
183000,-0.13285607,0.02943223,1.4111696,None,None,None,None,1.0
184000,-0.12861119,0.02076089,1.4111696,None,None,None,None,1.0
185000,-0.12844351,0.022265162,1.4111696,None,None,None,None,1.0
186000,-0.11948508,0.01985519,1.4111696,None,None,None,None,1.0
187000,-0.113255724,0.035075627,1.4111696,None,None,None,None,1.0
188000,-0.10997558,0.028176993,1.4111696,None,None,None,None,1.0
189000,-0.10236432,0.045836814,1.4111696,None,None,None,None,1.0
190000,-0.10652386,0.039499834,1.4105046,None,None,None,None,1.0
191000,-0.102355614,0.044552162,1.4097668,None,None,None,None,1.0
192000,-0.101499885,0.042030968,1.4097668,599.0,-1.0000000894069672,-1.0000000894069672,0.058294492120283745,1.0
193000,-0.14374253,0.004848564,1.4097669,None,-1.0000000894069672,-1.0000000894069672,0.13813805812969804,1.0
194000,-0.14598384,0.0030243502,1.4097668,None,None,None,None,1.0
195000,-0.14163512,0.011916789,1.4097669,None,None,None,None,1.0
196000,-0.1422057,0.013062274,1.4097668,None,None,None,None,1.0
197000,-0.14367531,0.028611764,1.4097669,None,None,None,None,1.0
198000,-0.14378609,0.030546568,1.4097669,None,None,None,None,1.0
199000,-0.14005533,0.033437617,1.4097669,None,None,None,None,1.0
200000,-0.14002548,0.034900267,1.4097667,None,None,None,None,1.0
201000,-0.13431746,0.034008637,1.4099103,None,None,None,None,1.0
202000,-0.13524058,0.032417286,1.4100488,None,None,None,None,1.0
203000,-0.12517864,0.032157503,1.4100487,None,None,None,None,1.0
204000,-0.12575185,0.035768416,1.4100488,None,None,None,None,1.0
205000,-0.11738898,0.036131863,1.4100488,None,None,None,None,1.0
206000,-0.11046862,0.0404835,1.4100486,None,None,None,None,1.0
207000,-0.11179593,0.040656626,1.4100488,None,None,None,None,1.0
208000,-0.109964184,0.042841118,1.4100486,None,None,None,None,1.0
209000,-0.11082806,0.048662998,1.4100488,None,None,None,None,1.0
210000,-0.109768644,0.04886912,1.4100486,None,None,None,None,1.0
211000,-0.11143582,0.054169614,1.4101751,599.0,-1.0000000894069672,-1.0000000894069672,0.07122738230163636,1.0
212000,-0.13281353,0.024692817,1.40983,None,-1.0000000894069672,-1.0000000894069672,0.07547671759190659,1.0
213000,-0.14387241,0.0065071667,1.40983,None,None,None,None,1.0
214000,-0.1427136,0.018285256,1.40983,None,None,None,None,1.0
215000,-0.14205468,0.019358333,1.40983,None,None,None,None,1.0
216000,-0.14345352,0.030661436,1.40983,None,None,None,None,1.0
217000,-0.144575,0.03263634,1.40983,None,None,None,None,1.0
218000,-0.14067928,0.03314913,1.40983,None,None,None,None,1.0
219000,-0.13899954,0.033770464,1.40983,None,None,None,None,1.0
220000,-0.13482687,0.032575663,1.40983,None,None,None,None,1.0
221000,-0.12959324,0.034722105,1.40983,None,None,None,None,1.0
222000,-0.1273261,0.032998826,1.4101672,None,None,None,None,1.0
223000,-0.1245961,0.036278024,1.4105529,None,None,None,None,1.0
224000,-0.12268606,0.035779104,1.4105529,None,None,None,None,1.0
225000,-0.1206242,0.046018302,1.4105527,None,None,None,None,1.0
226000,-0.12179586,0.046086926,1.4105529,None,None,None,None,1.0
227000,-0.11819901,0.059537116,1.4105529,None,None,None,None,1.0
228000,-0.119997196,0.05893769,1.4105529,None,None,None,None,1.0
229000,-0.11311197,0.0668233,1.4105529,None,None,None,None,1.0
230000,-0.1118585,0.07262169,1.4105529,599.0,-1.0000000894069672,-1.0000000894069672,0.0712368399098826,1.0
231000,-0.122521326,0.05305854,1.4105529,None,-1.0000000894069672,-1.0000000894069672,0.060594237765625995,1.0
232000,-0.1456403,0.009093214,1.4105529,None,None,None,None,1.0
233000,-0.14712305,0.01615148,1.4113647,None,None,None,None,1.0
234000,-0.14975907,0.022939462,1.4118292,None,None,None,None,1.0
235000,-0.14973648,0.027147831,1.4118291,None,None,None,None,1.0
236000,-0.14856927,0.031807117,1.4118291,None,None,None,None,1.0
237000,-0.14457822,0.03227061,1.4118291,None,None,None,None,1.0
238000,-0.14003834,0.033554357,1.4118291,None,None,None,None,1.0
239000,-0.1376818,0.033595506,1.4118291,None,None,None,None,1.0
240000,-0.13389607,0.036129694,1.4118291,None,None,None,None,1.0
241000,-0.13293013,0.03949265,1.4118291,None,None,None,None,1.0
242000,-0.12766054,0.046300817,1.4118291,None,None,None,None,1.0
243000,-0.12755081,0.050447643,1.4118291,None,None,None,None,1.0
244000,-0.12419094,0.062107354,1.4125688,None,None,None,None,1.0
245000,-0.12496365,0.06054078,1.4134282,None,None,None,None,1.0
246000,-0.11798088,0.064307906,1.4134281,None,None,None,None,1.0
